"deltas_rcts" "sd_deltas_rcts" "deltas_nonrcts" "sd_deltas_nonrcts" "cc"
"1" 0 0 0 0 11
"2" -0.0180084838335359 0.00191920056682037 -0.0255593168776805 0.00136237513686412 11
"3" -0.0326324622545162 0.00413604661226201 -0.0503570957083657 0.00305256379570071 11
"4" -0.0437155475030013 0.00685658129005857 -0.073698274918832 0.00537629486977065 11
"5" -0.0517145380375637 0.00998520050474039 -0.095031979019458 0.00821891479596112 11
"6" -0.0573392630817466 0.0132730476127153 -0.11402239403823 0.0112984675894904 11
"7" -0.0613217557801846 0.016463693982548 -0.130532467019285 0.0143411810781097 11
"8" -0.0643023513210723 0.0193552111608256 -0.14457702002382 0.0171370919567821 11
"9" -0.0667901797756426 0.02181309015948 -0.156273352509505 0.019546847437648 11
"10" -0.0691629832759822 0.0237633321466439 -0.165800091503486 0.0214921943032367 11
"11" -0.0716841925888976 0.0251797456930483 -0.17336662763431 0.0229424668304423 11
