"","ML_by_tscores","ML_by_sites","ML_by_tscores_r","ML_by_sites_r"
"num_tscores",385,385,385,385
"num_articles",36,36,36,36
"thetahat",0.923076923076925,1.03333333333333,1.2,0.857142857142858
"deltahat",0.00540411029930233,0.0325397627339296,0.0482408059671018,0.0576574294342976
"varest_theta",0.354609432442844,0.100108641975309,1.0976,0.244897959183675
"varest_delta",0.00178463514084642,0.000653211251629991,0.000610476558075611,0.00120707342303574
