"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"null","normal",50,0.9499,0.95051,-0.000609999999999999,0.000712451606051081,3.86050071428571,0.187410000793933,3.02899734121182,0.183279059062205,0,0.938630438270986,-0.0029,15.168997776141,NA,0.542883523318981,0.187414666650805,4.23549163289865
"2",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"null","normal",50,0.949684,0.95,-0.000315999999999983,0.0034474880723925,1.62678616121948,0.0595295674612605,0.694257844327472,0.0598094208256783,0,0.95,0,16.2763071411035,NA,0.251984209978975,0.0596484135966399,1.00509306959623
"3",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"cauchy","normal",50,0.548166,0.634488,-0.086322,-0.0631553185037495,1.79531816600067,0.145841633190271,1.62178774197659,0.147670726028753,0,0.957658658658659,-0.001,15.168997776141,NA,0.542883523318981,0.147670163212324,1.85250913584692
"4",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"cauchy","normal",50,0.549138,0.63502,-0.085882,-0.0810619448439625,1.12725244588906,0.0487533978603675,0.348906498737174,0.0488915010704772,0,0.949,0,16.2763071411035,NA,0.251984209978975,0.0489910883185762,0.416388543338545
"5",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"realistic","normal",50,0.432558,0.555878,-0.12332,-0.0970979735606294,1.29825636363636,0.149200597080917,1.09677510898227,0.150931924590131,0,0.954755755755756,-0.001,15.168997776141,NA,0.542883523318981,0.151487335575912,1.16684350744216
"6",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"realistic","normal",50,0.432712,0.555048,-0.122336,-0.116399448404268,0.994693405797332,0.0481795997269356,0.272415646860335,0.0482749435513325,0,0.9498,0,16.2763071411035,NA,0.251984209978975,0.0485439643487892,0.288404448224768
"7",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"large","normal",50,0.217934,0.501126,-0.283192,-0.263203285107608,1.01524433686884,0.144316287853362,0.54298212189513,0.145134371689729,0,0.9506,0,15.168997776141,NA,0.542883523318981,0.145693993228354,0.555077329638021
"8",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"large","normal",50,0.217498,0.4993,-0.281802,-0.273824470790303,0.920880890722784,0.0491413847399325,0.190300410197009,0.0493799669249068,0,0.9461,0,16.2763071411035,NA,0.251984209978975,0.0497847031371048,0.191442570288133
"9",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"worst","normal",50,0.718434,0.833212,-0.114778,-0.113858185836047,1.97300605699856,0.173771983646015,1.56014019736033,0.172053156291483,0,0.942988637727545,-2e-04,15.168997776141,NA,0.542883523318981,0.173774418020511,1.89350981876913
"10",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"worst","normal",50,0.717614,0.83386,-0.116246,-0.125257058407688,1.19196140039328,0.0567729536819944,0.312171599164775,0.0568257999830779,0,0.9465,0,16.2763071411035,NA,0.251984209978975,0.0574836276117352,0.427425510053737
"11",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"unif","normal",50,0.46081,0.627832,-0.167022,-0.142014673183987,1.24553325764105,0.156967322033953,0.846372528654698,0.156918998935328,0,0.953095319531953,-1e-04,15.168997776141,NA,0.542883523318981,0.158946867163193,0.914187994559864
"12",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"unif","normal",50,0.460798,0.627212,-0.166414,-0.161692343642069,0.974760933121636,0.0506851495598408,0.236424856803061,0.0512465579389338,0,0.9527,0,16.2763071411035,NA,0.251984209978975,0.0509046012131105,0.247963525615292
