"","out_RCT_tscores","out_other_tscores","out_RCT_articles","out_other_articles"
"num_tscores",7569,14171,7569,14171
"num_articles",145,559,145,559
"thetahat",1.03664921465969,0.927272727272728,1.16908212560386,0.926160337552743
"deltahat",0.0716841925888976,0.17336662763431,0.095157339406332,0.173497648679792
"varest_delta",0.000634019593166583,0.000526356784265947,0.000237157785409084,0.000457342348840478
"varest_theta",0.0122452999258242,0.00971437836395726,0.00303823609197179,0.00338988055854328
