"","c_sq","pval_alt_rcts","pval_alt_rcts_uncluster","pval_alt_non_rcts","pval_ML_non_rcts","pval_ML_non_rcts.1"
"1",1,NA,NA,NA,NA,NA
"2",1.1,0,0,0,0.0001,0.0001
"3",1.2,0,0,0,0.0005,0.0005
"4",1.3,0,0,0,0.002,0.002
"5",1.4,0,0,0,0.0064,0.0064
"6",1.5,0,0,0,0.0149,0.0149
"7",1.6,0,0,0,0.0259,0.0259
"8",1.7,0,0,0,0.0363,0.0363
"9",1.8,0,0,0,0.0432,0.0432
"10",1.9,0,0,0,0.045,0.045
"11",2,0,0,0,0.0417,0.0417
