"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",5e+05,1.96,1.4142135623731,145,1,0.9,1e-04,2,10000,"null","t",30,0.941054,0.940912,0.000141999999999975,-0.00493947980004531,2.3101932958708,0.108642296344894,1.71953163214451,0.108752104392651,0,0.9491,0,15.6810154095544,NA,0.380692214262131,0.108761068365707,2.22383321444404
"2",5e+05,1.96,1.4142135623731,145,1,0.9,1e-04,2,10000,"cauchy","t",30,0.54497,0.630244,-0.0852740000000001,-0.0769473625491677,1.31532681084338,0.0877196974595475,0.709684927823857,0.088691426970794,0,0.9553,0,15.6810154095544,NA,0.380692214262131,0.0881140069094133,0.822282832476568
"3",5e+05,1.96,1.4142135623731,145,1,0.9,1e-04,2,10000,"realistic","t",30,0.432544,0.553268,-0.120724,-0.112180878888295,1.08660052344896,0.0880602552392217,0.503800558132636,0.0884530169280709,0,0.9533,0,15.6810154095544,NA,0.380692214262131,0.088473688015851,0.537247389687637
"4",5e+05,1.96,1.4142135623731,145,1,0.9,1e-04,2,10000,"large","t",30,0.220864,0.498752,-0.277888,-0.270050527798301,0.945677033166285,0.0853448339198457,0.312079293979711,0.0870096203886158,0,0.9517,0,15.6810154095544,NA,0.380692214262131,0.0857039476763961,0.315404307341781
"5",5e+05,1.96,1.4142135623731,145,1,0.9,1e-04,2,10000,"worst","t",30,0.71525,0.829164,-0.113914,-0.118343333125505,1.45578277616779,0.101049289153578,0.642319195927788,0.102522105148726,0,0.9504,0,15.6810154095544,NA,0.380692214262131,0.101146318916607,0.849392985456139
"6",5e+05,1.96,1.4142135623731,145,1,0.9,1e-04,2,10000,"unif","t",30,0.460664,0.62524,-0.164576,-0.15688313306479,1.08116478312869,0.0929065688412045,0.427546969895422,0.092667174029932,0,0.9523,0,15.6810154095544,NA,0.380692214262131,0.0932245178884199,0.464345873366849
