"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"null","lognormal",185,0.952384,0.95196,0.00042399999999998,0.0175237058444045,4.07034547619047,0.185813139173809,3.17062822307448,0.182302564404681,0,0.938115577889447,-0.005,15.168997776141,NA,0.542883523318981,0.186598292140069,4.48374550653333
"2",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"null","lognormal",185,0.951816,0.951988,-0.00017199999999995,0.0191027717499922,1.6901530616142,0.0590802943256432,0.802188210704901,0.0596325487035393,0,0.9406,0,16.2763071411035,NA,0.251984209978975,0.0621449756908708,1.12598747158759
"3",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"cauchy","lognormal",185,0.549086,0.636532,-0.087446,-0.0579098265592594,1.81059402569653,0.147631041096553,1.63791626017442,0.148037373574637,0,0.957358358358358,-0.001,15.168997776141,NA,0.542883523318981,0.150556666530491,1.87402005191459
"4",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"cauchy","lognormal",185,0.549886,0.637084,-0.087198,-0.0801224485099335,1.12500938135688,0.0483074329342304,0.351932395726459,0.0488850134816276,0,0.9532,0,16.2763071411035,NA,0.251984209978975,0.0488228584331535,0.417714774529667
"5",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"realistic","lognormal",185,0.43282,0.558708,-0.125888,-0.104558063149309,1.31957297780651,0.149949315343386,1.08754477956359,0.150075298396063,0,0.948139207048458,-0.0012,15.168997776141,NA,0.542883523318981,0.151458784420068,1.16567368129397
"6",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"realistic","lognormal",185,0.432658,0.55867,-0.126012,-0.121360770773051,1.00692567756122,0.0485784229941431,0.275383061411152,0.0482746832124775,0,0.9503,0,16.2763071411035,NA,0.251984209978975,0.048800585180093,0.295413153116284
"7",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"large","lognormal",185,0.220788,0.525258,-0.30447,-0.259846172887151,1.10584084691839,0.145319285371608,0.596778511734743,0.144642078089777,0,0.9434,0,15.168997776141,NA,0.542883523318981,0.152016382824721,0.631280481504391
"8",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"large","lognormal",185,0.219834,0.5259,-0.306066,-0.278885303077144,0.968690926499661,0.0495919768546998,0.200686654055149,0.0493184340761131,0,0.9038,0,16.2763071411035,NA,0.251984209978975,0.0565522276623054,0.212116893479121
"9",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"worst","lognormal",185,0.73554,0.841466,-0.105926,-0.0813824599077437,2.08887305611056,0.171794639516987,1.69483802323225,0.170790876932983,0,0.94488355506652,-3e-04,15.168997776141,NA,0.542883523318981,0.173538997136181,2.07024034076709
"10",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"worst","lognormal",185,0.735158,0.84165,-0.106492,-0.0904546412178555,1.2209319323121,0.056081087156006,0.343615624128668,0.0566246044724339,0,0.9437,0,16.2763071411035,NA,0.251984209978975,0.0583291111993555,0.470179755330777
"11",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,10000,"unif","lognormal",185,0.460954,0.628598,-0.167644,-0.148299377888451,1.24387101729153,0.155741326380697,0.827631600373864,0.156433387073294,0,0.952176338169085,-5e-04,15.168997776141,NA,0.542883523318981,0.156938125219646,0.896226167030686
"12",5e+05,1.96,1.4142135623731,500,1,0.9,1e-04,2,10000,"unif","lognormal",185,0.459326,0.627508,-0.168182,-0.165031528700747,0.983574914142432,0.0515439510492531,0.239300230026036,0.0511740406724643,0,0.9498,0,16.2763071411035,NA,0.251984209978975,0.0516401429042873,0.253474587216211
