"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","eps","RMSE_delta","RMSE_theta"
"1",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"null","lognormal",185,0.952562,0.951714,-0.000848000000000071,-0.0131051865745167,17.9164291428571,0.10055600820462,35.0626174420448,0.0961546338951293,3.423111598787,0.931665233155403,0.832561597341122,12,0.542883523318981,0.101300293231413,38.9736578044845
"2",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"null","lognormal",185,0.951552,0.952208,0.000656000000000101,-0.0166738860388977,1.69978299463559,0.0595007669575394,0.804272071644594,0.0596002738407137,0.833966726092058,0.9439,0.9972,14,0.251984209978975,0.0619731088348535,1.13424265646103
"3",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"cauchy","lognormal",185,0.550112,0.637266,0.087154,0.0697496843368347,2.6430691985792,0.0824764776066072,9.39303644222843,0.0813045796238044,1.99284352555711,0.937078156312625,0.953210420841683,12,0.542883523318981,0.0842928203472649,9.55339854900165
"4",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"cauchy","lognormal",185,0.549634,0.635118,0.085484,0.0788800857509755,1.12127801465879,0.0482633241579742,0.345022052142822,0.048842845598114,0.354138287870643,0.9525,0.9807,14,0.251984209978975,0.048713038728724,0.409883125093214
"5",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"realistic","lognormal",185,0.433436,0.559424,0.125988,0.106608273024354,1.42745010705961,0.0856674501466524,3.58488915958219,0.0846217618671379,1.31866699590004,0.940023720837088,0.932313697807149,12,0.542883523318981,0.0878321457797757,3.62348366933357
"6",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"realistic","lognormal",185,0.432316,0.558742,0.126426,0.122077689365066,1.00730154485423,0.0487480598086801,0.2803733345754,0.0482545644103654,0.279472541781371,0.9478,0.9654,14,0.251984209978975,0.0489416095003886,0.300204643983123
"7",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"large","lognormal",185,0.221774,0.525522,0.303748,0.272257179097401,1.10695948854293,0.0862734822846022,0.581395556970911,0.0878391773594598,0.614842604228391,0.9407,0.9514,12,0.542883523318981,0.0918410885531695,0.617132905915304
"8",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"large","lognormal",185,0.219732,0.525556,0.305824,0.282373407914546,0.958092374013973,0.0493541747068508,0.196755721204525,0.0494166157193427,0.197915294008504,0.9202,0.961,14,0.251984209978975,0.0546421525029232,0.205152474382573
"9",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"worst","lognormal",185,0.736398,0.840182,0.103784,0.0950385541084794,2.84065112171162,0.0984836810446687,8.88796687419228,0.0962532826033643,2.25054227643987,0.934686977395479,0.979395919183837,12,0.542883523318981,0.0988712205646797,9.09736675818557
"10",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"worst","lognormal",185,0.734536,0.841694,0.107158,0.0905114015508383,1.20541632431286,0.0565768414699297,0.351505441783029,0.0567012758833021,0.349256794482201,0.9425,0.9744,14,0.251984209978975,0.0589749797002186,0.465655674033784
"11",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"unif","lognormal",185,0.461644,0.628734,0.16709,0.151589896737822,1.26895767212363,0.0900967680929448,1.63790666856173,0.0897602378146204,0.969863406299779,0.9483,0.9536,12,0.542883523318981,0.091420352339794,1.67894848602864
"12",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"unif","lognormal",185,0.460756,0.629036,0.16828,0.159762430860439,0.99799005252163,0.0510042566715861,0.245824197318097,0.05108243036216,0.245234502076034,0.9457,0.9643,14,0.251984209978975,0.051710571285456,0.264634817022021
"13",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"zcurve","lognormal",185,0.366156,0.461104,0.094948,0.0754765042344569,1.59586977910978,0.0818094199048699,6.09337757355484,0.0811854388072329,1.37987068451351,0.94120647265429,0.903675112895133,12,0.542883523318981,0.0840947104907252,6.13298336891429
"14",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"zcurve","lognormal",185,0.366726,0.460274,0.093548,0.0913758198780028,0.95347226978579,0.0461154049501738,0.298215108533415,0.0458775013184193,0.299228683084936,0.9494,0.9435,14,0.251984209978975,0.0461665348515666,0.302971177826606
