"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","eps","RMSE_delta","RMSE_theta"
"1",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"null","t",30,0.940712,0.940172,-0.000539999999999985,0.0040070985314592,11.9754291933622,0.101721102615299,28.4908733953584,0.0969601651101245,3.3163064040383,0.93372199899548,0.892536664992466,12,0.542883523318981,0.101822683240656,30.5678752720486
"2",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"null","t",30,0.94103,0.940478,-0.000551999999999997,0.003592463800876,1.51061587121736,0.0592786100311907,0.615378452567628,0.0595040501851244,0.632153743773517,0.9501,0.9962,14,0.251984209978975,0.0594233135009043,0.866915441128521
"3",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"cauchy","t",30,0.54622,0.629476,0.083256,0.0709025354728595,2.61718858608059,0.0803868358227696,9.49363159144476,0.0811664091710437,1.94185278580769,0.944176896862784,0.95119303397815,12,0.542883523318981,0.0813305075566372,9.64768249033121
"4",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"cauchy","t",30,0.545064,0.630142,0.085078,0.0834736269958263,1.1090498343839,0.0484252754039401,0.343332484582022,0.0488750656718099,0.345937313326867,0.9558,0.9776,14,0.251984209978975,0.0484518452763563,0.401968939378654
"5",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"realistic","t",30,0.431186,0.552834,0.121648,0.102581490496001,1.52313444436119,0.0856328252966968,4.9433896993783,0.0845470168651851,1.28334229414605,0.942905829910848,0.927880286487028,12,0.542883523318981,0.0877297700496284,4.98250923287342
"6",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"realistic","t",30,0.43186,0.553842,0.121982,0.114528325010625,1.01330897569536,0.0482283038799454,0.283707310749182,0.0479697250896601,0.284296933005033,0.9477,0.9668,14,0.251984209978975,0.048800886938493,0.305497564876815
"7",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"large","t",30,0.220276,0.499632,0.279356,0.261300952285412,1.00057746883921,0.0867520655608779,0.53105676277975,0.087966005343096,0.560496736351575,0.9453,0.9202,12,0.542883523318981,0.088610979156394,0.540497097616824
"8",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"large","t",30,0.221374,0.4997,0.278326,0.274959882569831,0.918795048666078,0.0491375257299855,0.189828787819169,0.0494331163377517,0.192123084161347,0.9483,0.9437,14,0.251984209978975,0.0492526870477,0.19075697245253
"9",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"worst","t",30,0.713658,0.828438,0.11478,0.129636319622856,2.21474957947608,0.0992347809055916,5.13718339480325,0.0979066499359777,1.97355249982769,0.936593669366937,0.984298439843984,12,0.542883523318981,0.100340679557781,5.30275585790773
"10",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"worst","t",30,0.71554,0.82831,0.11277,0.124177746802332,1.18814752293596,0.0566205353044973,0.311866475161461,0.0566598887945109,0.313097006719406,0.9445,0.9613,14,0.251984209978975,0.057758304210511,0.424605338289294
"11",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"unif","t",30,0.460494,0.62488,0.164386,0.148907334494819,1.26961333663395,0.0899305426881248,1.92227709322951,0.0896964423645267,0.998903561150087,0.947694779477948,0.948094819481948,12,0.542883523318981,0.0912528990991624,1.95748901447047
"12",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"unif","t",30,0.45887,0.625224,0.166354,0.159157015919138,0.994688454424777,0.0510715217077724,0.244558228072043,0.0509394269291816,0.245742416581236,0.9469,0.9649,14,0.251984209978975,0.0515761273207639,0.262249176012224
"13",5e+05,1.96,1.4142135623731,50,1,0.9,0.05,2,10000,"zcurve","t",30,0.358234,0.458404,0.10017,0.0888369150995212,1.65014264951715,0.079788311825717,6.09043637006227,0.0797189347470458,1.37851675526106,0.946534453697201,0.915632477174676,12,0.542883523318981,0.0805891650121734,6.136459009266
"14",5e+05,1.96,1.4142135623731,500,1,0.9,0.05,2,10000,"zcurve","t",30,0.35794,0.45809,0.10015,0.0966355941864784,0.994668814572398,0.0444483520220589,0.303998151707058,0.0450230737158013,0.304833720912737,0.9526,0.9565,14,0.251984209978975,0.044587072629844,0.318397645553246
