"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","epx","eps","RMSE_delta","RMSE_theta"
"1",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,1000,"null",0.950144,0.950354,-0.000210000000000043,-0.00612070956938759,3.77873214285714,0.197267406896411,2.98079407023521,0.183344109976389,0,0.930738955823293,-0.004,15.168997776141,NA,0.542883523318981,0.197355938120057,4.14393919350517
"2",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,1000,"cauchy",0.548376,0.634668,-0.086292,-0.0648836584130764,1.8202382034632,0.146827961186453,1.62530666920817,0.146660912362235,0,0.952867602808425,-0.003,15.168997776141,NA,0.542883523318981,0.148380481451143,1.8677419843452
"3",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,1000,"realistic",0.432742,0.554234,-0.121492,-0.0992278282182517,1.30706982902718,0.147538101077484,1.15986796621326,0.150171531358433,0,0.954955955955956,-0.001,15.168997776141,NA,0.542883523318981,0.149208527285397,1.22922721445301
"4",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,1000,"large",0.217244,0.50146,-0.284216,-0.264705254319473,1.00867940749051,0.147118731350706,0.537772005301711,0.146389249465514,0,0.955,0,15.168997776141,NA,0.542883523318981,0.148406840513675,0.548643730756775
"5",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,1000,"worst",0.7194,0.835318,-0.115918,-0.115223579726555,1.95356394716395,0.170943229839157,1.48044353871373,0.172481970507781,0,0.957,0,15.168997776141,NA,0.542883523318981,0.170944640300183,1.81706083059509
"6",5e+05,1.96,1.4142135623731,50,1,0.9,1e-04,2,1000,"unif",0.462402,0.627596,-0.165194,-0.136943975737785,1.25854616355866,0.158872681992404,0.880189588896666,0.156874572422538,0,0.949950950950951,-0.001,15.168997776141,NA,0.542883523318981,0.161364782261419,0.950415206004575
