"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","eps","RMSE_delta","RMSE_theta"
"1",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"null","t",30,0.940886,0.940946,0.000059999999999949,0.00278233108296744,11.806195047619,0.186686621289665,28.1453136440962,0.1818631545663,3.37973086235002,0.940546766268926,0.896928998295398,15.168997776141,0.542883523318981,0.186706469237346,30.1844955323301
"2",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"null","t",30,0.941146,0.940366,-0.000780000000000003,0.00133407389823382,1.50547299544724,0.100771827147631,0.607807682294434,0.101438974754676,0.624020970513783,0.9521,0.9951,16.2763071411035,0.251984209978975,0.100794000094843,0.857920583079798
"3",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"cauchy","t",30,0.545662,0.630758,0.0850960000000001,0.0619358668179018,2.56017605272505,0.149340977077867,9.19304227984173,0.14794417732505,1.97003082530774,0.94777096450772,0.953185041106878,15.168997776141,0.542883523318981,0.151126169817092,9.34174560159927
"4",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"cauchy","t",30,0.544748,0.630136,0.085388,0.0810886233684039,1.12149906734832,0.0811266345602901,0.34680853940671,0.0814557181374456,0.351067909424311,0.9519,0.9783,16.2763071411035,0.251984209978975,0.0812404792852626,0.411506986382483
"5",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"realistic","t",30,0.430822,0.553184,0.122362,0.0982274607493762,1.47044384335926,0.147795659380414,4.41968862083638,0.150362019029421,1.25186367535445,0.955060364327895,0.930037844059654,15.168997776141,0.542883523318981,0.149753240086921,4.45634981611375
"6",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"realistic","t",30,0.43219,0.55291,0.12072,0.109997366410292,0.99493624890952,0.0790042985339311,0.273709462349279,0.0794720703112799,0.278153450265915,0.948,0.963,16.2763071411035,0.251984209978975,0.0797286275934663,0.289706336031061
"7",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"large","t",30,0.220178,0.49994,0.279762,0.258591668248407,1.01562659244737,0.143611279586841,0.556273787488167,0.145719271989434,0.581333892512238,0.9528,0.9213,15.168997776141,0.542883523318981,0.145163296225466,0.56816374006744
"8",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"large","t",30,0.220254,0.501026,0.280772,0.276087923723596,0.920571178976367,0.0769138678330709,0.192516104707419,0.0771164374846917,0.193483170783371,0.9483,0.9473,16.2763071411035,0.251984209978975,0.0770563666130597,0.193612045018371
"9",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"worst","t",30,0.714584,0.829246,0.114662,0.107718428885316,2.19982787839938,0.174653694425073,5.39387415809294,0.171109735809838,1.89052280595299,0.940494059405941,0.984898499849985,15.168997776141,0.542883523318981,0.174791665007664,5.54828180131534
"10",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"worst","t",30,0.714416,0.8288,0.114384,0.107453598494874,1.21143658328111,0.0940144997950407,0.317516375711796,0.0926005479131191,0.321344291627704,0.9452,0.9612,16.2763071411035,0.251984209978975,0.0942695955053057,0.444757680373216
"11",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"unif","t",30,0.45962,0.623898,0.164278,0.139414586121995,1.25448708885559,0.15496063754528,1.31030272997907,0.15647885412059,0.986971324050951,0.95538231292517,0.946978951580632,15.168997776141,0.542883523318981,0.156942628173828,1.3574072124296
"12",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"unif","t",30,0.461382,0.624394,0.163012,0.156644000491782,0.988285599022448,0.0841118780310075,0.241643405617505,0.0833673024638508,0.244515358479559,0.9463,0.964,16.2763071411035,0.251984209978975,0.0843525900233048,0.257266170479483
