"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","eps","RMSE_delta","RMSE_theta"
"1",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"null","lognormal",185,0.9515,0.951472,-0.000028000000000028,-0.0247227194351843,17.8085048174603,0.186238801340431,34.9740125825483,0.182716731014409,3.42759184764913,0.94351049984914,0.834489077743136,15.168997776141,0.542883523318981,0.187868891231899,38.8468672004104
"2",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"null","lognormal",185,0.951878,0.952206,0.000327999999999995,-0.0248408384508838,1.69282590866327,0.102886559206768,0.789397141901561,0.102106722798368,0.821591898678609,0.9436,0.9974,16.2763071411035,0.251984209978975,0.10592032144199,1.11880327541981
"3",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"cauchy","lognormal",185,0.548122,0.635636,0.087514,0.058151933371897,2.84225075962926,0.145842263102025,10.4408146512344,0.147196429941621,1.97872530658176,0.95040938783689,0.951912243262198,15.168997776141,0.542883523318981,0.148768601066869,10.6199316661979
"4",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"cauchy","lognormal",185,0.548426,0.636938,0.088512,0.0725068510891165,1.1605105515128,0.0797975619025091,0.363869287637404,0.0809105289807011,0.367912312654538,0.9511,0.9844,16.2763071411035,0.251984209978975,0.0813868274184731,0.447511570727791
"5",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"realistic","lognormal",185,0.432342,0.55768,0.125338,0.101031809178674,1.42200961116661,0.149472393254656,4.06877012056123,0.151235414842552,1.21241945447389,0.953363330664532,0.9306451561249,15.168997776141,0.542883523318981,0.151435752903722,4.10211949217989
"6",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"realistic","lognormal",185,0.432728,0.55757,0.124842,0.117136464804809,0.978996610511598,0.0807361545373795,0.26963004925245,0.0801934930163462,0.27141039165727,0.9478,0.9574,16.2763071411035,0.251984209978975,0.0811030327554276,0.280964104348224
"7",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"large","lognormal",185,0.219656,0.526154,0.306498,0.255927357529177,1.11617615411429,0.14485006610872,0.602457799459255,0.144466771606962,0.629189188805583,0.943088657731546,0.947589557911582,15.168997776141,0.542883523318981,0.153424025275093,0.640068378954103
"8",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"large","lognormal",185,0.21991,0.524872,0.304962,0.272684951688353,0.962546694252159,0.07588765966404,0.199002865282801,0.0763795873084575,0.199815870876108,0.9253,0.9618,16.2763071411035,0.251984209978975,0.0824666280200516,0.208600645618938
"9",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"worst","lognormal",185,0.736174,0.841974,0.1058,0.0796340671030146,2.87711121467421,0.175416754214749,9.19704989643874,0.171148249558274,2.203177287671,0.937587557511502,0.974294898979796,15.168997776141,0.542883523318981,0.177357530721441,9.40716192869956
"10",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"worst","lognormal",185,0.736412,0.841154,0.104742,0.0815721290348958,1.22233727717732,0.0930005596437316,0.346224681626849,0.0938986609372584,0.351209678144133,0.9403,0.9723,16.2763071411035,0.251984209978975,0.0958433462196873,0.473046351244468
"11",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"unif","lognormal",185,0.460004,0.627402,0.167398,0.144456053792021,1.28554819409418,0.15673420471812,2.15528418185439,0.15657969494133,0.990256619401302,0.952095219521952,0.94999500950095,15.168997776141,0.542883523318981,0.158404368072447,2.18949704601788
"12",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"unif","lognormal",185,0.460282,0.628338,0.168056,0.161158653104886,0.992812609005583,0.0828484947831619,0.239617067470329,0.0834157646128998,0.24318629349044,0.9512,0.964,16.2763071411035,0.251984209978975,0.0831351098034227,0.256964043036187
"13",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"zcurve","lognormal",185,0.366364,0.461246,0.094882,0.0700467912942014,1.64099424342324,0.146678689469906,6.54551139397752,0.147985025700789,1.32484182365222,0.956822543701025,0.902372071529034,15.168997776141,0.542883523318981,0.148766345441668,6.58732053854038
"14",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"zcurve","lognormal",185,0.366964,0.461284,0.09432,0.0855153415725629,0.982964085135952,0.0741246701684224,0.300663741314765,0.074578265235393,0.307837160120415,0.9464,0.9567,16.2763071411035,0.251984209978975,0.0746457549871475,0.311900183975318
