"","popsizes","cvs","cs","ns","sigma_Ys","theta0","J_coeffs","eps_coeffs","nsims","dgps","noise_dgp","nu","beta_c","beta_1","delta0","Mean_deltahat","Mean_thetahat","SD_deltahat","SD_thetahat","SD_EST_deltahat","SD_Est_thetahat","Cover_deltahat","Cover_thetahat","J","eps","RMSE_delta","RMSE_theta"
"1",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"null","t",30,0.940818,0.940632,-0.000186000000000019,-0.000626508144746271,11.9825546803752,0.187053918836875,28.4561309975456,0.181975534650362,3.35263657500302,0.938803491872366,0.894352358017259,15.168997776141,0.542883523318981,0.187054437529981,30.5380813017612
"2",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"null","t",30,0.940512,0.939642,-0.000870000000000037,0.00626920232698135,1.51742907952811,0.101610837460578,0.627260962140642,0.101298275515138,0.638581297622286,0.9474,0.9959,16.2763071411035,0.251984209978975,0.101861329754258,0.880156226401048
"3",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"cauchy","t",30,0.544912,0.630498,0.0855860000000001,0.0623382795574895,2.59423627955378,0.146690617274325,9.44925873164663,0.148450194524821,1.97160938918809,0.952509018036072,0.949302605210421,15.168997776141,0.542883523318981,0.148521357730447,9.59994412215802
"4",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"cauchy","t",30,0.545558,0.628752,0.083194,0.075353795080388,1.12611801578949,0.080428548729263,0.348197930710946,0.081018335812475,0.352783537719991,0.952,0.979,16.2763071411035,0.251984209978975,0.0808097782689504,0.415176054242007
"5",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"realistic","t",30,0.43156,0.553532,0.121972,0.0977541590013079,1.4192683489566,0.148067386682702,3.82902447235552,0.15034575810922,1.24478517376244,0.954842985881646,0.931813046961049,15.168997776141,0.542883523318981,0.150034845358279,3.86407401949362
"6",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"realistic","t",30,0.43128,0.554404,0.123124,0.11193547625048,1.00131099027965,0.0800767191330292,0.277257990870371,0.0794215860172334,0.28069220162288,0.9471,0.9605,16.2763071411035,0.251984209978975,0.0808545855892145,0.295187923623103
"7",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"large","t",30,0.22031,0.499242,0.278932,0.258244096365651,1.0129751745146,0.14322512411425,0.543905386711143,0.145541337164353,0.564675285467139,0.9538,0.9207,15.168997776141,0.542883523318981,0.14471152522977,0.555514590042423
"8",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"large","t",30,0.219906,0.49787,0.277964,0.275443406528092,0.918947356632576,0.0768781602507472,0.190274665489948,0.076893330677811,0.192878073982805,0.948,0.9481,16.2763071411035,0.251984209978975,0.0769194703244256,0.191215717582718
"9",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"worst","t",30,0.715358,0.82906,0.113702,0.110481476475039,2.30832276279276,0.170017227159832,5.99604744506044,0.17055761029699,1.97845407593139,0.9468,0.9831,15.168997776141,0.542883523318981,0.170047726544323,6.15921731777797
"10",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"worst","t",30,0.715222,0.82978,0.114558,0.108607222483975,1.2128100296864,0.0926341333492704,0.323843235670065,0.0927625654548866,0.323472137835178,0.9499,0.9606,16.2763071411035,0.251984209978975,0.092825074276381,0.450249437491778
"11",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"unif","t",30,0.459838,0.625842,0.166004,0.141836786790099,1.27680778639987,0.15748771882923,1.65597608570773,0.156407890418882,1.01960900883999,0.949094919491949,0.947894799479948,15.168997776141,0.542883523318981,0.159331214067952,1.69830530362696
"12",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"unif","t",30,0.46043,0.625182,0.164752,0.152602976688024,0.989840026064836,0.0829206052895543,0.241909480835701,0.0833568843717821,0.244191130979053,0.9471,0.9643,16.2763071411035,0.251984209978975,0.0838058801577848,0.258053148017087
"13",500000,1.96,1.4142135623731,50,1,0.9,0.0001,2,10000,"zcurve","t",30,0.358406,0.458664,0.100258,0.0761715330280609,1.68428482622933,0.144519287642402,6.25601904013295,0.144285809118002,1.45109262094021,0.955162927661282,0.915130821711649,15.168997776141,0.542883523318981,0.146512737984988,6.30498825686135
"14",500000,1.96,1.4142135623731,500,1,0.9,0.0001,2,10000,"zcurve","t",30,0.35877,0.45896,0.10019,0.0950141955092655,0.986963914321628,0.0733117419678711,0.297133994863769,0.0740023979209802,0.301835830844087,0.9505,0.9579,16.2763071411035,0.251984209978975,0.0734942206060451,0.309598664883816
